pivot_id,ndvi_mean,ndvi_p50,ndvi_p90,n_pix,date,image
1,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
2,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
3,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
4,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
5,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
6,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
7,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
8,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
9,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
10,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
11,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
12,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
13,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
14,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
15,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
16,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
17,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
18,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
19,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
20,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
21,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
22,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
23,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
24,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
25,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
26,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
27,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
28,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
29,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
30,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
31,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
32,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
33,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
34,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
35,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
36,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
37,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
38,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
39,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
40,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
41,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
42,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
43,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
44,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
45,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
46,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
47,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
48,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
49,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
50,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
51,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
52,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
53,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
54,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
55,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
56,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
57,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
58,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
59,,,,0,2024-10-01,2024-10-01_strip_7611305_composite.tif
